"dispnum3","dispnum4","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1807,-9,"USR",365,10,10,1968,21,3,1969,0,0,0,-9,0,0,0,1,1,"4.01"
1807,-9,"GHA",452,10,10,1968,21,3,1969,1,1,2,-9,0,0,15,4,1,"4.01"
1808,-9,"NOR",385,26,1,1973,26,1,1973,0,0,0,-9,0,0,0,1,1,"4.01"
1808,-9,"ARG",160,26,1,1973,26,1,1973,0,1,1,-9,0,0,7,3,1,"4.01"
1808,-9,"URU",165,26,1,1973,26,1,1973,1,1,1,-9,0,0,7,3,1,"4.01"
1809,-9,"UGA",500,26,6,1975,28,6,1975,0,0,0,-9,0,0,0,1,1,"4.01"
1809,-9,"KEN",501,26,6,1975,28,6,1975,1,1,2,-9,0,0,15,4,1,"4.01"
1810,-9,"CHN",710,25,11,1919,31,12,1919,0,0,0,-9,0,0,0,1,1,"4.01"
1810,-9,"JPN",740,25,11,1919,31,12,1919,1,1,2,-9,0,0,7,3,1,"4.01"
1825,-9,"JPN",740,11,12,1937,11,12,1937,1,1,2,-9,0,0,16,4,1,"4.01"
1825,-9,"USA",2,11,12,1937,11,12,1937,0,0,0,-9,1,-9,0,1,1,"4.01"
2000,-9,"NTH",210,11,5,1953,23,9,1953,0,0,0,-9,1,-9,17,4,1,"4.01"
2000,-9,"INS",850,11,5,1953,23,9,1953,1,1,1,-9,1,-9,17,4,1,"4.01"
2001,-9,"TAW",713,20,9,1953,29,10,1953,1,0,0,-9,2,-9,17,4,1,"4.01"
2001,-9,"MYA",775,20,9,1953,29,10,1953,0,0,0,-9,2,-9,17,4,1,"4.01"
2002,-9,"CHN",710,27,5,1960,27,5,1960,0,0,0,-9,0,0,0,1,1,"4.01"
2002,-9,"USA",2,27,5,1960,27,5,1960,1,0,0,-9,0,0,7,3,1,"4.01"
2005,-9,"BRA",140,4,2,1903,4,2,1903,0,0,0,-9,0,0,0,1,1,"4.01"
2005,-9,"USA",2,4,2,1903,4,2,1903,1,0,0,-9,0,0,1,2,1,"4.01"
2006,-9,"USA",2,23,8,1949,27,2,1950,0,0,0,-9,0,0,0,1,1,"4.01"
2006,-9,"TAW",713,23,8,1949,27,2,1950,1,0,0,-9,0,0,15,4,1,"4.01"
2007,-9,"UKG",200,18,10,1949,16,11,1949,0,0,0,-9,0,0,7,3,1,"4.01"
2007,-9,"TAW",713,18,10,1949,16,11,1949,1,0,0,-9,0,0,16,4,1,"4.01"
2008,-9,"UKG",200,5,6,1950,15,7,1950,0,0,0,-9,0,0,0,1,1,"4.01"
2008,-9,"TAW",713,5,6,1950,15,7,1950,1,0,0,-9,0,0,16,4,1,"4.01"
2009,-9,"CHN",710,17,8,1950,24,8,1950,0,0,0,-9,0,0,17,4,1,"4.01"
